Category_Type,Factor_Name,Total_Accidents,Persons_Killed,Persons_Injured,Severity_Index,Category_Accident_Share_%,Category_Fatality_Share_%
Road Classification,National Highways,116496,47984,109312,41.19,31.82,36.43
Road Classification,State Highways,90695,33148,86835,36.55,24.77,25.17
Road Classification,Other Urban & District Roads,158947,50582,152132,31.82,43.41,38.4
Junction Configuration,T-Junction,48210,16930,44250,35.12,13.17,12.85
Junction Configuration,Y-Junction,29840,10420,27690,34.92,8.15,7.91
Junction Configuration,4-Arm Cross Junction,54320,18850,51400,34.7,14.84,14.31
Junction Configuration,Roundabout / Traffic Circle,14650,4520,13900,30.85,4.0,3.43
Junction Configuration,Staggered Junction,12380,4110,11840,33.2,3.38,3.12
Junction Configuration,Uncontrolled / Open Road Section,206738,76884,199199,37.19,56.46,58.37
Traffic Cause,Over-speeding,265343,91239,252115,34.39,72.47,69.27
Traffic Cause,Drunken Driving / Under Influence,8355,3322,7014,39.76,2.28,2.52
Traffic Cause,Driving on Wrong Side / Lane Indiscipline,20228,7332,18910,36.25,5.52,5.57
Traffic Cause,Jumping Red Light,4380,1420,4010,32.42,1.2,1.08
Traffic Cause,Use of Mobile Phones while Driving,6753,2511,5980,37.18,1.84,1.91
Traffic Cause,Other Causes / Human Errors,61079,25890,60250,42.39,16.68,19.66
Weather Condition,Fine / Clear Sky,268412,93450,256820,34.82,73.31,70.95
Weather Condition,Rainy / Wet Pavement,34210,12890,31450,37.68,9.34,9.79
Weather Condition,Foggy / Misty (Low Visibility),41530,17240,38120,41.51,11.34,13.09
Weather Condition,Hail / Sleet / Severe Weather,6850,2414,6140,35.24,1.87,1.83
Weather Condition,Other / Adverse Weather,15136,5720,15749,37.79,4.13,4.34
Road Surface Feature,Normal / Flat Straight Road,242150,84300,231400,34.81,66.14,64.0
Road Surface Feature,Curved / Sharp Turn Section,58420,21940,55210,37.56,15.96,16.66
Road Surface Feature,Potholed / Degraded Surface,14710,5620,13450,38.21,4.02,4.27
Road Surface Feature,Ongoing Road Works / Diversion,12840,4980,11920,38.79,3.51,3.78
Road Surface Feature,Bridge / Culvert / Approach,21540,8720,20380,40.48,5.88,6.62
Road Surface Feature,Steep Incline / Ghat Section,16478,6154,15919,37.35,4.5,4.67
Road User Type,Two-Wheelers (Motorcycles/Scooters),158964,56873,149210,35.78,43.42,41.93
Road User Type,Pedestrians (VRU),56214,23483,49810,41.77,15.35,17.31
Road User Type,Cars / Taxis / Jeeps / LMV,64320,21450,62100,33.35,17.57,15.82
Road User Type,Trucks / Lorries / Heavy Goods,38940,17820,34250,45.76,10.64,13.14
Road User Type,Buses (Public & Private),18450,6720,19840,36.42,5.04,4.95
Road User Type,Auto-Rickshaws (3-Wheelers),21450,6128,23149,28.57,5.86,4.52
Road User Type,Bicycles (Non-Motorized VRU),7800,3150,7920,40.38,2.13,2.32
