State_UT,Year,Total_Accidents,Persons_Killed,Persons_Injured,Severity_Index,YoY_Accident_Change_%,YoY_Fatality_Change_%
Andaman and Nicobar Islands,2014,235,23,277,9.79,0.0,0.0
Andhra Pradesh,2014,24448,7908,29439,32.35,0.0,0.0
Andhra Pradesh,2015,24258,8297,29420,34.2,-0.78,4.92
Andhra Pradesh,2016,24888,8541,30051,34.32,2.6,2.94
Andhra Pradesh,2017,25727,8060,30364,31.33,3.37,-5.63
Andhra Pradesh,2018,24475,7556,28723,30.87,-4.87,-6.25
Andhra Pradesh,2019,21992,7984,24619,36.3,-10.15,5.66
Andhra Pradesh,2020,19509,7039,20387,36.08,-11.29,-11.84
Arunachal Pradesh,2014,205,114,305,55.61,0.0,0.0
Assam,2014,7144,2515,6383,35.2,0.0,0.0
Assam,2015,6979,2397,6223,34.35,-2.31,-4.69
Assam,2016,7375,2572,6344,34.87,5.67,7.3
Assam,2017,7170,2756,6136,38.44,-2.78,7.15
Assam,2018,8248,2966,7375,35.96,15.03,7.62
Assam,2019,8350,3208,7479,38.42,1.24,8.16
Assam,2020,6593,2629,5489,39.88,-21.04,-18.05
Bihar,2014,9556,4580,6940,47.93,0.0,0.0
Bihar,2015,9555,5421,6890,56.73,-0.01,18.36
Bihar,2016,8227,4901,5843,59.57,-13.9,-9.59
Bihar,2017,8855,5554,6227,62.72,7.63,13.32
Bihar,2018,9600,6729,6680,70.09,8.41,21.16
Bihar,2019,10007,7284,6940,72.79,4.24,8.25
Bihar,2020,8639,6699,5452,77.54,-13.67,-8.03
Chandigarh,2014,369,131,335,35.5,0.0,0.0
Chhattisgarh,2014,13821,4022,12979,29.1,0.0,0.0
Chhattisgarh,2015,14002,4082,13192,29.15,1.31,1.49
Chhattisgarh,2016,13608,3908,12955,28.72,-2.81,-4.26
Chhattisgarh,2017,13615,4136,12845,30.38,0.05,5.83
Chhattisgarh,2018,13864,4586,12975,33.08,1.83,10.88
Chhattisgarh,2019,13899,5003,13079,36.0,0.25,9.09
Chhattisgarh,2020,11656,4609,10321,39.54,-16.14,-7.88
Dadra and Nagar Haveli and Daman and Diu,2014,200,93,215,46.5,0.0,0.0
Delhi,2014,8623,1671,8283,19.38,0.0,0.0
Delhi,2015,8085,1622,8258,20.06,-6.24,-2.93
Delhi,2016,7375,1591,7154,21.57,-8.78,-1.91
Delhi,2017,6673,1584,6604,23.74,-9.52,-0.44
Delhi,2018,6515,1690,6086,25.94,-2.37,6.69
Delhi,2019,5610,1463,5152,26.08,-13.89,-13.43
Delhi,2020,4178,1196,3662,28.63,-25.53,-18.25
Goa,2014,4303,292,2004,6.79,0.0,0.0
Gujarat,2014,23712,7955,23337,33.55,0.0,0.0
Gujarat,2015,23183,8119,21742,35.02,-2.23,2.06
Gujarat,2016,21859,8136,19932,37.22,-5.71,0.21
Gujarat,2017,19081,7289,17267,38.2,-12.71,-10.41
Gujarat,2018,18769,7994,16828,42.59,-1.64,9.67
Gujarat,2019,17046,7390,15065,43.35,-9.18,-7.56
Gujarat,2020,13398,6048,10793,45.14,-21.4,-18.16
Haryana,2014,10676,4483,9306,41.99,0.0,0.0
Haryana,2015,11174,4879,9951,43.66,4.66,8.83
Haryana,2016,11234,5024,9871,44.72,0.54,2.97
Haryana,2017,11258,5120,10255,45.48,0.21,1.91
Haryana,2018,11238,5118,10328,45.54,-0.18,-0.04
Haryana,2019,10944,5057,9460,46.21,-2.62,-1.19
Haryana,2020,9431,4507,7622,47.79,-13.82,-10.88
Himachal Pradesh,2014,3059,1177,5132,38.48,0.0,0.0
Jammu and Kashmir,2014,5861,992,8043,16.93,0.0,0.0
Jharkhand,2014,5201,2628,4583,50.53,0.0,0.0
Karnataka,2014,44439,10452,56971,23.52,0.0,0.0
Karnataka,2015,44448,10856,56976,24.42,0.02,3.87
Karnataka,2016,44401,11133,56804,25.07,-0.11,2.55
Karnataka,2017,42542,10609,52881,24.94,-4.19,-4.71
Karnataka,2018,41707,10990,51430,26.35,-1.96,3.59
Karnataka,2019,40658,10958,50446,26.95,-2.52,-0.29
Karnataka,2020,34178,9760,39498,28.56,-15.94,-10.93
Kerala,2014,36282,4049,41096,11.16,0.0,0.0
Kerala,2015,39014,4196,43735,10.76,7.53,3.63
Kerala,2016,39420,4287,44108,10.88,1.04,2.17
Kerala,2017,38470,4133,42671,10.74,-2.41,-3.59
Kerala,2018,40181,4303,45458,10.71,4.45,4.11
Kerala,2019,41111,4440,46055,10.8,2.31,3.18
Kerala,2020,27877,2979,30510,10.69,-32.19,-32.91
Ladakh,2014,145,34,180,23.45,0.0,0.0
Lakshadweep,2014,1,0,1,0.0,0.0,0.0
Madhya Pradesh,2014,53472,8569,54645,16.03,0.0,0.0
Madhya Pradesh,2015,54947,9314,55815,16.95,2.76,8.69
Madhya Pradesh,2016,53972,9646,54992,17.87,-1.77,3.56
Madhya Pradesh,2017,53394,10177,54569,19.06,-1.07,5.5
Madhya Pradesh,2018,51397,10706,54662,20.83,-3.74,5.2
Madhya Pradesh,2019,50669,11249,52939,22.2,-1.42,5.07
Madhya Pradesh,2020,45266,11140,46385,24.61,-10.66,-0.97
Maharashtra,2014,61627,12833,44365,20.82,0.0,0.0
Maharashtra,2015,63805,13212,39606,20.71,3.53,2.95
Maharashtra,2016,39878,12935,35884,32.44,-37.5,-2.1
Maharashtra,2017,35877,12264,32170,34.18,-10.03,-5.19
Maharashtra,2018,35717,13261,31364,37.13,-0.45,8.13
Maharashtra,2019,32925,12788,28628,38.84,-7.82,-3.57
Maharashtra,2020,24971,11569,19917,46.33,-24.16,-9.53
Manipur,2014,678,158,1198,23.3,0.0,0.0
Meghalaya,2014,482,172,276,35.68,0.0,0.0
Mizoram,2014,132,99,219,75.0,0.0,0.0
Nagaland,2014,305,71,257,23.28,0.0,0.0
Odisha,2014,9648,3931,11087,40.74,0.0,0.0
Odisha,2015,10548,4303,11825,40.79,9.33,9.46
Odisha,2016,10532,4463,11316,42.38,-0.15,3.72
Odisha,2017,10857,4790,11463,44.12,3.09,7.33
Odisha,2018,11262,5315,11794,47.19,3.73,10.96
Odisha,2019,11064,5333,11177,48.2,-1.76,0.34
Odisha,2020,9817,4737,8818,48.25,-11.27,-11.18
Others / Rest of India,2015,18747,8560,20047,45.66,0.0,0.0
Others / Rest of India,2016,16351,7173,16900,43.87,-12.78,-16.2
Others / Rest of India,2017,14263,6744,14930,47.28,-12.77,-5.98
Others / Rest of India,2018,14467,6393,13628,44.19,1.43,-5.2
Others / Rest of India,2019,18581,7862,16960,42.31,28.44,22.98
Others / Rest of India,2020,20857,6672,17646,31.99,12.25,-15.14
Puducherry,2014,1572,153,1769,9.73,0.0,0.0
Punjab,2014,6391,4621,4124,72.3,0.0,0.0
Punjab,2015,6702,4893,4414,73.01,4.87,5.89
Punjab,2016,6952,5077,4615,73.03,3.73,3.76
Punjab,2017,6273,4463,3867,71.15,-9.77,-12.09
Punjab,2018,6428,4725,3968,73.51,2.47,5.87
Punjab,2019,6348,4588,3816,72.27,-1.24,-2.9
Punjab,2020,5194,3868,2731,74.47,-18.18,-15.69
Rajasthan,2014,24628,10289,27440,41.78,0.0,0.0
Rajasthan,2015,24072,10510,26153,43.66,-2.26,2.15
Rajasthan,2016,23066,10465,24103,45.37,-4.18,-0.43
Rajasthan,2017,22112,10444,22446,47.23,-4.14,-0.2
Rajasthan,2018,21743,10320,21547,47.46,-1.67,-1.19
Rajasthan,2019,23480,10563,22974,44.99,7.99,2.35
Rajasthan,2020,19114,9250,17290,48.39,-18.59,-12.43
Sikkim,2014,203,59,342,29.06,0.0,0.0
Tamil Nadu,2014,67250,15190,77725,22.59,0.0,0.0
Tamil Nadu,2015,69059,15642,79359,22.65,2.69,2.98
Tamil Nadu,2016,71431,17218,82163,24.1,3.43,10.08
Tamil Nadu,2017,65562,16157,74706,24.64,-8.22,-6.16
Tamil Nadu,2018,63920,12216,74537,19.11,-2.5,-24.39
Tamil Nadu,2019,57228,10525,67137,18.39,-10.47,-13.84
Tamil Nadu,2020,45484,8059,46443,17.72,-20.52,-23.43
Telangana,2014,20297,6906,22212,34.02,0.0,0.0
Telangana,2015,21252,7110,23146,33.46,4.71,2.95
Telangana,2016,22811,7219,24177,31.65,7.34,1.53
Telangana,2017,22484,6596,23789,29.34,-1.43,-8.63
Telangana,2018,22230,6603,23607,29.7,-1.13,0.11
Telangana,2019,21570,6964,21999,32.29,-2.97,5.47
Telangana,2020,19172,6882,18454,35.9,-11.12,-1.18
Tripura,2014,716,184,1081,25.7,0.0,0.0
Uttar Pradesh,2014,31034,16284,22337,52.47,0.0,0.0
Uttar Pradesh,2015,32385,17666,23205,54.55,4.35,8.49
Uttar Pradesh,2016,35612,19320,25091,54.25,9.96,9.36
Uttar Pradesh,2017,38783,20124,27506,51.89,8.9,4.16
Uttar Pradesh,2018,42568,22256,29664,52.28,9.76,10.59
Uttar Pradesh,2019,42572,22655,28918,53.22,0.01,1.79
Uttar Pradesh,2020,34243,19149,20268,55.92,-19.56,-15.48
Uttarakhand,2014,1410,878,1481,62.27,0.0,0.0
West Bengal,2014,17140,5990,15760,34.95,0.0,0.0
West Bengal,2015,13208,6234,11994,47.2,-22.94,4.07
West Bengal,2016,13580,6544,12694,48.19,2.82,4.97
West Bengal,2017,11776,5769,10256,48.99,-13.28,-11.84
West Bengal,2018,12705,5706,11849,44.91,7.89,-1.09
West Bengal,2019,10158,5500,8933,54.14,-20.05,-3.61
West Bengal,2020,10190,4927,8295,48.35,0.32,-10.42
